{bdg-dark-line}`group` Name(dimensions)                                                                                                           ,Specified in                                                 ,Data type ,Required or optional             ,Model units                   ,Description                                                                                                                                                                                                                                                                                                                                                                 ,Potential source
"`soil_bulk_density(y, x)`                                                                                                                       ",{bdg-primary}`data.nc` {bdg-success}`config.yaml`          ,float     ,Required                         ,kg/m<sup>3</sup>              ,Bulk density of the soil profile                                                                                                                                                                                                                                                                                                                                            ,[ESDAC Soil Bulk Density](https://esdac.jrc.ec.europa.eu/content/soil-bulk-density-europe)
"`soil_water_content_field_capacity(y, x)`                                                                                                       ",{bdg-primary}`data.nc` {bdg-success}`config.yaml`          ,float     ,Required                         ,cm<sup>3</sup>/cm<sup>3</sup> ,"Water content of the soil at field capacity, as a fraction. Standard name: `volume_fraction_of_condensed_water_in_soil_at_field_capacity`                                                                                                                                                                                                                                 ",[ESDAC Soil Hydraulic Properties](https://esdac.jrc.ec.europa.eu/content/maps-indicators-soil-hydraulic-properties-europe)
"`soil_water_content_saturation(y, x)`                                                                                                           ",{bdg-primary}`data.nc` {bdg-success}`config.yaml`          ,float     ,Required                         ,cm<sup>3</sup>/cm<sup>3</sup> ,"Water content of the soil at saturation, as a fraction. Standard name: `volume_fraction_of_condensed_water_in_soil`                                                                                                                                                                                                                                                       ",[ESDAC Soil Hydraulic Properties](https://esdac.jrc.ec.europa.eu/content/maps-indicators-soil-hydraulic-properties-europe)
"`soil_hydraulic_conductivity(y, x)`                                                                                                             ",{bdg-primary}`data.nc` {bdg-success}`config.yaml`          ,float     ,Required                         ,m/s                           ,The hydraulic conductivity of the soil. Standard name: `soil_hydraulic_conductivity_at_saturation`                                                                                                                                                                                                                                                                          ,[ESDAC Soil Hydraulic Properties](https://esdac.jrc.ec.europa.eu/content/maps-indicators-soil-hydraulic-properties-europe)
"`soil_texture_clay_content(y, x)` `soil_texture_sand_content(y, x)` `soil_texture_silt_content(y, x)` `soil_texture_coarse_frag_content(y, x)`  ",{bdg-primary}`data.nc` {bdg-success}`config.yaml`          ,float     ,Required                         ,kg/kg                         ,"Clay, sand, silt or coarse fragment content of the soil, as a fraction.                                                                                                                                                                                                                                                                                                   ",[ESDAC Topsoil Physical Properties](https://esdac.jrc.ec.europa.eu/content/topsoil-physical-properties-europe-based-lucas-topsoil-data)
"`soil_usle_c_factor(y, x)` `soil_usle_p_factor(y, x)` `soil_usle_ls_factor(y, x)`                                                               ",{bdg-primary}`data.nc` {bdg-success}`config.yaml`          ,float     ,Required                         ,\-,"Universal Soil Loss Equation cover management (C), support practice (P) and slope length and steepness (LS) factors.                                                                                                                                                                                                                                                      ","ESDAC [C-factor](https://esdac.jrc.ec.europa.eu/content/cover-management-factor-c-factor-eu), [P-factor](https://esdac.jrc.ec.europa.eu/content/support-practices-factor-p-factor-eu) and [LS-factor](https://esdac.jrc.ec.europa.eu/content/ls-factor-slope-length-and-steepness-factor-eu)"
"`land_use(l, y, x)`                                                                                                                             ",{bdg-primary}`data.nc`                                       ,float     ,Required                         ,\-,"The fraction of the grid cell that is each of the NanoFASE model land use categories, indexed by `l`. [See here](nanofase-data:land-use) for land use categories. This is an internal parameter only required in the model NetCDF file. The NanoFASE data module takes a more conventional land use raster (see next row) and converts it to this parameter.              ","[CORINE Land Cover](https://land.copernicus.eu/en/products/corine-land-cover) raster, pre-processed by the NanoFASE data module"
"`land_use(y, x)`                                                                                                                                ",{bdg-success}`config.yaml`                        ,int       ,Required                         ,\-,"Raster of land use classes, which are mapped to NanoFASE land use categories. If data are CORINE, the mapping should work automatically - see [Land use config](nanofase-data:land-use). This is the only spatial data that can be higher resolution than the model resolution (the higher the resolution, the more accurate that the above model parameter `land_use(l, y, x)` will be) ",[CORINE Land Cover](https://land.copernicus.eu/en/products/corine-land-cover) raster
{bdg-dark-line}`soil` `darcy_velocity`                                                                                                            ,{bdg-secondary}`constants.nml` {bdg-danger}`constants.yaml` ,float     ,"Optional, defaults to 9e-6 m/s ",m/s                           ,"The Darcy approach velocity is used to calculate the attachment rate of NMs. A default of 9e-6 m/s is used {cite:p}`tufenkji_2004,meesters_2014`.                                                                                                                                                                                                                         ",
{bdg-dark-line}`soil` `default_porosity`                                                                                                          ,{bdg-secondary}`constants.nml` {bdg-danger}`constants.yaml` ,float     ,Required                         ,\-,Porosity of the soil profile.                                                                                                                                                                                                                                                                                                                                               ,
