# NanoFASE model output data - SEDIMENT.
# See summary.md for model run metadata.
#	x, y: grid cell (eastings and northings) index
#	easts, norths: eastings and northings at the centre of this grid cell (m)
#	w: waterbody index within this grid cell
#	waterbody_type: what type (river, estuary etc) of waterbody is this sediment in?
#	m_np_total(kg), C_np_total(kg/m3), C_np_total(kg/kg): NM mass (kg) and concentration (kg/m3 and kg/kg dry weight) for all layers
#	m_np_buried(kg): NM mass buried on this timestep (kg)
#	bed_area(m2): area of this bed sediment (m2)
#	sediment_mass(kg): total mass of fine sediment in this bed sediment (kg, *not* kg/m2)
t,datetime,x,y,easts,norths,w,waterbody_type,m_np_total(kg),C_np_total(kg/m3),C_np_total(kg/kg),m_np_buried(kg),bed_area(m2),sediment_mass(kg)
1,2015-01-01T00:00:00.000,12,1,447500.000,257500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1097.4512190531948,4379.9813849808288
1,2015-01-01T00:00:00.000,12,2,447500.000,252500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3221.7747829067462,12845.821501812801
1,2015-01-01T00:00:00.000,13,2,452500.000,252500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,958.35744072524597,3825.8754192708470
1,2015-01-01T00:00:00.000,11,3,442500.000,247500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1391.7003326764250,5555.5505775342017
1,2015-01-01T00:00:00.000,12,3,447500.000,247500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3925.8157710476562,15642.919975355537
1,2015-01-01T00:00:00.000,12,3,447500.000,247500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3399.5388742905607,13535.572528774765
1,2015-01-01T00:00:00.000,13,3,452500.000,247500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2030.3383411621464,8098.0060450176825
1,2015-01-01T00:00:00.000,13,3,452500.000,247500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2869.8328410160002,11446.334783759379
1,2015-01-01T00:00:00.000,14,3,457500.000,247500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,957.32345719155535,3821.7552817734781
1,2015-01-01T00:00:00.000,10,4,437500.000,242500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1178.5707356076252,4706.1377234488200
1,2015-01-01T00:00:00.000,11,4,442500.000,242500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,860.20092769958228,3434.6795815263363
1,2015-01-01T00:00:00.000,12,4,447500.000,242500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3371.7588990270001,13446.447191735815
1,2015-01-01T00:00:00.000,12,4,447500.000,242500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,6927.5394314905616,27541.696852310804
1,2015-01-01T00:00:00.000,13,4,452500.000,242500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1465.7884975711322,5850.7204161769514
1,2015-01-01T00:00:00.000,10,5,437500.000,237500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,879.56021241646795,3511.8460464047030
1,2015-01-01T00:00:00.000,11,5,442500.000,237500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3622.6189954771539,14452.993143476848
1,2015-01-01T00:00:00.000,11,5,442500.000,237500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2906.8389715875437,11596.870248522733
1,2015-01-01T00:00:00.000,11,5,442500.000,237500.000,3,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2938.1538703802034,11721.490400275217
1,2015-01-01T00:00:00.000,12,5,447500.000,237500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,8068.9938440116794,32056.014078739045
1,2015-01-01T00:00:00.000,12,5,447500.000,237500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3203.3202223130443,12776.499028806018
1,2015-01-01T00:00:00.000,12,5,447500.000,237500.000,3,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1791.1189206965610,7146.1501789544800
1,2015-01-01T00:00:00.000,13,5,452500.000,237500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,812.00950874747798,3242.5630792147990
1,2015-01-01T00:00:00.000,5,6,412500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1133.7110113008844,4527.2908443626375
1,2015-01-01T00:00:00.000,6,6,417500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1008.9874014497772,4027.6041719828199
1,2015-01-01T00:00:00.000,7,6,422500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2025.0754849707755,8077.0740425310432
1,2015-01-01T00:00:00.000,9,6,432500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1531.8180770430995,6113.7287162989751
1,2015-01-01T00:00:00.000,10,6,437500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,926.32744557352373,3698.2379924598040
1,2015-01-01T00:00:00.000,11,6,442500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2786.1270648829445,11113.350437024485
1,2015-01-01T00:00:00.000,12,6,447500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,5843.0719302033131,23257.572807716686
1,2015-01-01T00:00:00.000,12,6,447500.000,232500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,9527.0379976495115,37814.196936566004
1,2015-01-01T00:00:00.000,12,6,447500.000,232500.000,3,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2423.0442177870777,9659.3608375393160
1,2015-01-01T00:00:00.000,12,6,447500.000,232500.000,4,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1747.9690406776281,6974.3964889736681
1,2015-01-01T00:00:00.000,13,6,452500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,784.60526239769706,3133.2995517152790
1,2015-01-01T00:00:00.000,29,6,532500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,802.61241640303615,3206.5901719210738
1,2015-01-01T00:00:00.000,30,6,537500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,687.89484530450295,2747.6117670145836
1,2015-01-01T00:00:00.000,31,6,542500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,916.18765358730059,3657.8283724844778
1,2015-01-01T00:00:00.000,32,6,547500.000,232500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1724.1138356712218,6879.4415373769189
1,2015-01-01T00:00:00.000,4,7,407500.000,227500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1064.5997077783959,4251.7154874872003
1,2015-01-01T00:00:00.000,5,7,412500.000,227500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1204.4683773015911,4809.3767213090887
1,2015-01-01T00:00:00.000,6,7,417500.000,227500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2973.1540121536855,11860.769490278597
1,2015-01-01T00:00:00.000,7,7,422500.000,227500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,4211.3306759914703,16782.969104423482
1,2015-01-01T00:00:00.000,8,7,427500.000,227500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3765.5570302655033,15011.964181811669
1,2015-01-01T00:00:00.000,8,7,427500.000,227500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2406.5458672602754,9593.7436426679778
1,2015-01-01T00:00:00.000,9,7,432500.000,227500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1108.1436189892204,4422.5645216558933
1,2015-01-01T00:00:00.000,10,7,437500.000,227500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1068.5212900080564,4264.7578032190177
1,2015-01-01T00:00:00.000,11,7,442500.000,227500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,897.49170814627280,3583.3163211624301
1,2015-01-01T00:00:00.000,12,7,447500.000,227500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,12615.688625236142,49982.799036084456
1,2015-01-01T00:00:00.000,24,7,507500.000,227500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,481.65994685309096,1924.6567876197262
1,2015-01-01T00:00:00.000,25,7,512500.000,227500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,729.72446452132044,2915.6921484962404
1,2015-01-01T00:00:00.000,28,7,527500.000,227500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1297.7155954154941,5181.0530249499097
1,2015-01-01T00:00:00.000,29,7,532500.000,227500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,633.79258299655851,2531.7874788226236
1,2015-01-01T00:00:00.000,30,7,537500.000,227500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2156.2376044439898,8607.8800269042040
1,2015-01-01T00:00:00.000,30,7,537500.000,227500.000,2,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,2094.0357853150681,8358.2195640205919
1,2015-01-01T00:00:00.000,31,7,542500.000,227500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,855.24873122982967,3414.9390853643426
1,2015-01-01T00:00:00.000,32,7,547500.000,227500.000,1,riv,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,3226.1992566609701,12867.548240730204
